0.001996008,0.4282
0.003984064,0.5446
0.005964215,0.5598
0.007936508,0.606
0.00990099,0.6242
0.011857708,0.6278
0.013806706,0.6582
0.015748031,0.6828
0.017681729,0.691
0.019607843,0.697
0.021526419,0.7032
0.0234375,0.706
0.025341131,0.704
0.027237354,0.7272
0.029126214,0.7338
0.031007752,0.7392
0.032882012,0.7476
0.034749035,0.7542
0.036608863,0.7562
0.038461538,0.7566
0.040307102,0.7706
0.042145594,0.7728
0.043977055,0.7752
0.045801527,0.7792
0.047619048,0.7816
0.049429657794676805,0.782
